url,username,fullname
https://www.instagram.com/illinoistechvolleyball/,illinoistechvolleyball,IllinoisTechVolleyball
https://www.instagram.com/illinoistechxctf/,illinoistechxctf,Illinois Tech XC/Track
https://www.instagram.com/unco.clubswim/,unco.clubswim,UNC Club Swimming
https://www.instagram.com/tech_eats/,tech_eats,Illinois Tech Culinary
https://www.instagram.com/jrphotographyllc/,jrphotographyllc,Judith Rackow Photography LLC
https://www.instagram.com/illinoistechwsoc/,illinoistechwsoc,Illinois Tech Women’s Soccer
https://www.instagram.com/drmegancannon/,drmegancannon,"Megan Cannon, Ph.D."
https://www.instagram.com/fairmontstate_swim/,fairmontstate_swim,Fairmont State Swim Team
https://www.instagram.com/lfc_swimdive/,lfc_swimdive,Forester Swimming and Diving
https://www.instagram.com/techmbb/,techmbb,Illinois Tech Men’s Basketball
https://www.instagram.com/lawrenceuniversityswim/,lawrenceuniversityswim,Lawrence Swim & Dive
https://www.instagram.com/iitorl/,iitorl,Residence Life at IIT
https://www.instagram.com/ebeisel34/,ebeisel34,Elizabeth Beisel
https://www.instagram.com/uic_swimdive/,uic_swimdive,UIC Flames Swimming & Diving
https://www.instagram.com/emoryswimdive/,emoryswimdive,Emory Swimming & Diving
https://www.instagram.com/illinoistechmenslax/,illinoistechmenslax,Illinois Tech Lacrosse
https://www.instagram.com/sailfish_aquatics/,sailfish_aquatics,Sailfish Aquatics
https://www.instagram.com/julesthepool/,julesthepool,Julian
https://www.instagram.com/wpiswimdive/,wpiswimdive,WPI Swimming & Diving
https://www.instagram.com/robin1o9/,robin1o9,Robin
https://www.instagram.com/go.chicago/,go.chicago,Chicago
https://www.instagram.com/wes_swimanddive/,wes_swimanddive,Wesleyan Swimming & Diving
https://www.instagram.com/uchicagoswimdive/,uchicagoswimdive,UChicago Swimming & Diving
https://www.instagram.com/carletonswimdive/,carletonswimdive,Carleton College Swim & Dive
https://www.instagram.com/illinoistechsaac/,illinoistechsaac,Illinois Tech SAAC
https://www.instagram.com/boxer_swimming/,boxer_swimming,BoxerSwimming
https://www.instagram.com/kaplaninstitute/,kaplaninstitute,Startup advice for students
https://www.instagram.com/wiitchicago/,wiitchicago,WIIT 88.9FM Chicago
https://www.instagram.com/illinoistechalumni/,illinoistechalumni,Illinois Tech Alumni
https://www.instagram.com/lutherswimdive/,lutherswimdive,LutherSwimDive
https://www.instagram.com/arenausa/,arenausa,Arena Swimwear USA
https://www.instagram.com/sethpourciau/,sethpourciau,Seth Pourciau
https://www.instagram.com/speedousa/,speedousa,Speedo USA
https://www.instagram.com/jasperswimdive/,jasperswimdive,Manhattan Swimming & Diving
https://www.instagram.com/brandeisswimanddive/,brandeisswimanddive,Brandeis Swimming & Diving
https://www.instagram.com/athletic_outlook/,athletic_outlook,AthleticOutlook
https://www.instagram.com/atleta.escasa/,atleta.escasa,Julian Escasa
https://www.instagram.com/cjbudd1982/,cjbudd1982,Courtney Budd
https://www.instagram.com/iitcampuslife/,iitcampuslife,Campus Life at Illinois Tech
https://www.instagram.com/beloitswimdive/,beloitswimdive,Coach Schober - BC Swim & Dive
https://www.instagram.com/macalesterswimdive/,macalesterswimdive,Macalester Swimming And Diving
https://www.instagram.com/swimzander/,swimzander,Aaron Zander
https://www.instagram.com/tyrsport/,tyrsport,TYR Sport
https://www.instagram.com/kenyonsports/,kenyonsports,Kenyon College
https://www.instagram.com/cuswimdive/,cuswimdive,CU Swim & Dive
https://www.instagram.com/crowbar1841/,crowbar1841,Chris Roebuck
https://www.instagram.com/railroadclubiit/,railroadclubiit,Illinois Tech Railroad Club
https://www.instagram.com/washuswim/,washuswim,WashU Swimming and Diving
https://www.instagram.com/amherstswim/,amherstswim,Amherst College Swim and Dive
https://www.instagram.com/hokiesswimdive/,hokiesswimdive,Virginia Tech Swim & Dive
https://www.instagram.com/christinahiotaky/,christinahiotaky,christina hiotaky
https://www.instagram.com/andrew_glatt/,andrew_glatt,Andrew Glatt
https://www.instagram.com/swiftaquatics/,swiftaquatics,SWIFT Aquatics
https://www.instagram.com/m_phelps00/,m_phelps00,Michael Phelps
https://www.instagram.com/illinoistechstudyaway/,illinoistechstudyaway,Illinois Tech Study Away
https://www.instagram.com/clarkuswimdive/,clarkuswimdive,Clark U Swimming & Diving
https://www.instagram.com/illinoistechrsf/,illinoistechrsf,Illinois Tech Rec Sports
https://www.instagram.com/illinoistechmsoc/,illinoistechmsoc,Illinois Tech Men's Soccer
https://www.instagram.com/phyesta_simulations/,phyesta_simulations,Phyesta Simulations
https://www.instagram.com/princetonmsd/,princetonmsd,Princeton Men’s Swim & Dive
https://www.instagram.com/speedo/,speedo,Speedo International
https://www.instagram.com/m3aquatics/,m3aquatics,M3 Aquatics
https://www.instagram.com/pc_swim_dive/,pc_swim_dive,Providence College Swim & Dive
https://www.instagram.com/proplayersports/,proplayersports,ProPlayer Sports Management
https://www.instagram.com/illinoistech/,illinoistech,Illinois Tech
https://www.instagram.com/illinoistechinternational/,illinoistechinternational,Illinois Tech International
https://www.instagram.com/tuftsswimdive/,tuftsswimdive,Tufts University Swim & Dive
https://www.instagram.com/galvinlibrary/,galvinlibrary,Paul V. Galvin Library
https://www.instagram.com/nyuswimdive/,nyuswimdive,NYU Swimming & Diving
https://www.instagram.com/unicef.iit/,unicef.iit,UNICEF at IIT
https://www.instagram.com/ncaa/,ncaa,NCAA
https://www.instagram.com/cscaa1922/,cscaa1922,Swimming and Diving Coaches
https://www.instagram.com/sap/,sap,SAP
https://www.instagram.com/illinoistechathletics/,illinoistechathletics,Illinois Tech Athletics
https://www.instagram.com/collegeswimming/,collegeswimming,CollegeSwimming
https://www.instagram.com/matt.dilorenzo/,matt.dilorenzo,Matt DiLorenzo
https://www.instagram.com/iitarchitecture/,iitarchitecture,IIT Architecture Chicago
https://www.instagram.com/swimswamnews/,swimswamnews,SwimSwam
https://www.instagram.com/usaswimming/,usaswimming,USA Swimming
https://www.instagram.com/gmswimming/,gmswimming,Goldmedal Swimming
https://www.instagram.com/swimmingworldmag/,swimmingworldmag,Swimming World Magazine
https://www.instagram.com/theuscaa/,theuscaa,USCAA
https://www.instagram.com/eriksonted/,eriksonted,Ted Erikson
https://www.instagram.com/illinoistechwlax/,illinoistechwlax,Illinois Tech Women's Lacrosse
https://www.instagram.com/illinoistechadmission/,illinoistechadmission,Illinois Tech Admission
https://www.instagram.com/acuswimming/,acuswimming,ACU Swimming
https://www.instagram.com/shwc_iit/,shwc_iit,Illinois Tech SHWC
https://www.instagram.com/natalie.illinoistech/,natalie.illinoistech,Natalie Illinois Tech
https://www.instagram.com/wy_swimstagram/,wy_swimstagram,Whitney Young Swim & Dive
https://www.instagram.com/tedmullinfund/,tedmullinfund,Ted Mullin Fund
https://www.instagram.com/iitengineering/,iitengineering,Armour College of Engineering
https://www.instagram.com/illinoistech_computerscience/,illinoistech_computerscience,
https://www.instagram.com/illinois_tech_ssc/,illinois_tech_ssc,IIT Ski & Snowboard Club
https://www.instagram.com/swimmers_world_aus/,swimmers_world_aus,Swimmer's World
https://www.instagram.com/whittierswimanddive/,whittierswimanddive,Whittier College Swim & Dive
https://www.instagram.com/frostburgswimming/,frostburgswimming,🐾Frostburg Swim🐾
https://www.instagram.com/tedxiit/,tedxiit,TEDxIllinois Tech
https://www.instagram.com/wkauffiit/,wkauffiit,Will Kauff
https://www.instagram.com/reachyourprime_/,reachyourprime_,Prime U
https://www.instagram.com/iitshwc/,iitshwc,IIT Student Wellness Center
https://www.instagram.com/im4iit/,im4iit,IIT Intramurals & Recreation
https://www.instagram.com/illinoistechbaseball/,illinoistechbaseball,Illinois Tech Baseball
https://www.instagram.com/iithawkpride/,iithawkpride,Talon The Hawk
https://www.instagram.com/norwichswim_dive18/,norwichswim_dive18,Norwich University
https://www.instagram.com/swimentries/,swimentries,Swim Entries
https://www.instagram.com/swim_karma/,swim_karma,Swim_Karma
